Geneid	Sample1-1	Sample1-2	Sample1-5	Sample1-7	Sample1-9
RGna_RS00010	2.9844039313979334	3.5364248545082666	3.0485620694858753	4.329776566210077	1.2631007228093887
RGna_RS00015	11.937615725591733	12.216740406483103	12.803960691840675	12.989329698630232	20.841161926354914
RGna_RS00020	315.9204733094098	302.8465648133443	273.456017632883	364.5671868748885	363.1414578076992
RGna_RS00025	0.0	0.0	0.3048562069485875	0.0	0.6315503614046943
RGna_RS00030	0.4263434187711333	0.3214931685916606	0.0	0.0	0.0
RGna_RS00040	2.9844039313979334	1.2859726743666424	1.5242810347429376	0.8659553132420155	2.5262014456187774
RGna_RS00045	1.7053736750845332	0.9644795057749816	1.8291372416915253	0.0	0.6315503614046943
RGna_RS00050	4.689777606482466	1.607465842958303	0.9145686208457626	1.731910626484031	1.2631007228093887
RGna_RS00055	3.8370907689401994	3.214931685916606	0.609712413897175	0.0	0.0
RGna_RS00060	2.131717093855667	0.3214931685916606	0.9145686208457626	0.0	0.0
RGna_RS00065	0.8526868375422666	0.3214931685916606	0.609712413897175	3.463821252968062	1.2631007228093887
RGna_RS00070	1.2790302563134	1.607465842958303	2.133993448640113	0.0	0.0
RGna_RS00075	0.4263434187711333	2.250452180141624	0.609712413897175	0.8659553132420155	0.6315503614046943
RGna_RS00080	1.2790302563134	0.6429863371833212	1.21942482779435	0.0	0.0
RGna_RS00085	2.131717093855667	1.2859726743666424	0.609712413897175	2.5978659397260464	0.0
RGna_RS00090	0.0	0.6429863371833212	0.609712413897175	0.8659553132420155	0.0
RGna_RS00095	0.8526868375422666	0.3214931685916606	1.8291372416915253	0.0	0.6315503614046943
RGna_RS00100	3.4107473501690664	4.822397528874909	3.0485620694858753	2.5978659397260464	0.6315503614046943
RGna_RS00105	1.2790302563134	0.3214931685916606	2.4388496555887	0.8659553132420155	0.6315503614046943
RGna_RS00110	3.4107473501690664	0.9644795057749816	2.133993448640113	0.0	0.0
RGna_RS00115	3.4107473501690664	1.607465842958303	0.609712413897175	4.329776566210077	3.1577518070234714
RGna_RS00120	0.8526868375422666	4.179411191691588	4.8776993111774	0.0	1.2631007228093887
RGna_RS00125	6.395151281566999	3.8579180230999266	2.7437058625372877	1.731910626484031	1.894651084214083
RGna_RS00130	2.5580605126268	1.2859726743666424	2.4388496555887	0.0	1.2631007228093887
RGna_RS00135	1.7053736750845332	1.2859726743666424	2.133993448640113	1.731910626484031	0.6315503614046943
RGna_RS00140	4.689777606482466	6.429863371833212	2.4388496555887	8.659553132420154	6.947053975451637
RGna_RS00145	2.131717093855667	1.2859726743666424	0.0	0.0	1.2631007228093887
RGna_RS00150	5.542464444024733	4.500904360283248	6.401980345920338	10.391463758904186	4.42085252983286
RGna_RS00155	655.2898346512319	289.34385173249456	355.4623373020531	467.6158691506883	150.94053637572193
RGna_RS00160	365.37630988686124	119.59545871609774	160.96407726885423	243.33344302100633	26.525115178997158
RGna_RS00165	116.81809674329052	88.73211453129832	80.78689484137568	71.87429099908728	87.78550023525251
RGna_RS00170	92.09017845456479	87.76763502552333	93.59085553321637	61.4828272401831	70.73364047732576
RGna_RS00175	209.76096203539757	219.90132731669584	235.65384797125816	160.20173294977286	192.62286022843176
RGna_RS00180	35.38650375800407	20.57556278986628	16.767091382172314	24.24674877077643	17.05185975792675
RGna_RS00185	5.1161210252536	2.571945348733285	2.133993448640113	2.5978659397260464	0.6315503614046943
RGna_RS00190	8.526868375422668	3.5364248545082666	6.0971241389717505	4.329776566210077	2.5262014456187774
RGna_RS00195	22.596201194870066	3.5364248545082666	4.572843104228813	2.5978659397260464	3.1577518070234714
RGna_RS00200	64.80419965321227	23.469001307191224	36.88760104077909	24.24674877077643	9.473255421070416
RGna_RS00205	1.7053736750845332	2.250452180141624	1.21942482779435	0.0	0.0
RGna_RS00210	191.42819502823886	152.3877619124471	165.536920373083	143.74858199817456	97.89030601772762
RGna_RS00215	86.12137059176892	92.59003255439826	126.51532588366383	77.07002287853938	47.99782746675677
RGna_RS00220	165.84758990197085	150.1373097323055	227.4227303836463	188.77825828675938	78.94379517558679
RGna_RS00225	116.81809674329052	117.66649970454777	160.65922106190564	107.37845884200992	58.73418361063657
RGna_RS00230	9.379555212964933	8.037329214791516	7.316548966766101	15.58719563835628	0.6315503614046943
RGna_RS00235	0.0	0.9644795057749816	0.609712413897175	0.0	0.0
RGna_RS00240	83.56331007914213	76.19388095622355	74.68977070240395	70.14238037260326	55.5764318036131
RGna_RS00245	205.07118442891513	155.9241867669554	158.5252276132655	142.01667137169053	131.9940255335811
RGna_RS00250	5.542464444024733	7.715836046199853	7.621405173714688	6.927642505936124	9.473255421070416
RGna_RS00255	49.8821799962226	48.54546845734075	36.88760104077909	45.89563160182682	47.36627710535207
RGna_RS00260	38.370907689402	26.36243982451617	34.75360759213898	23.380793457534416	22.735813010568997
RGna_RS00265	87.82674426685347	82.94523749664843	90.23743725678192	75.33811225205535	73.89139228434924
RGna_RS00270	83.56331007914213	88.089128194115	85.35973794560451	90.0593525771696	75.15449300715862
RGna_RS00275	17.9064235883876	25.397960318741188	24.99820896978418	30.30843596347054	35.36682023866288
RGna_RS00280	112.12831913680806	129.8832401110309	228.03244279754347	251.9929961534265	426.92804430957335
RGna_RS00285	108.29122836786787	94.84048473453988	95.4199927749079	168.861286082193	287.98696480054065
RGna_RS00290	34.10747350169067	19.611083284091297	25.303065176732762	58.88496130045705	66.31278794749291
RGna_RS00295	58.40904837164526	77.15836046199854	100.60254829303388	150.6762245041107	590.4995879133892
