Geneid	remap/Sample1-1.bam	remap/Sample1-2.bam	remap/Sample1-5.bam	remap/Sample1-7.bam	remap/Sample1-9.bam	remap/Sample2-10.bam	remap/Sample2-3.bam	remap/Sample2-4.bam	remap/Sample2-5.bam	remap/Sample2-8.bam
RGna_RS00010	4.506119068644098	5.628443799111782	4.844532418887402	6.412183880821357	1.936794174646849					
RGna_RS00015	6.370720062565795	6.872347522739934	7.191624849417334	6.799126011560578	11.295183268522356					
RGna_RS00020	482.89383923977556	487.9500705034685	439.91942906030124	546.571387490654	563.7027489790057					
RGna_RS00025	0.0	0.0	0.6207057161699484	0.0	1.2407587681331376					
RGna_RS00030	0.9685498391318902	0.7698622043822619	0.0	0.0	0.0					
RGna_RS00040	0.7280822928646622	0.33069942966568106	0.39138094418597735	0.2072114593999414	0.625880285009031					
RGna_RS00045	0.9342648890741241	0.5569578337013267	1.0546504203949567	0.0	0.35136531486956113					
RGna_RS00050	1.1385208403128788	0.41134794253758117	0.23367744608751	0.4123914339038049	0.3114061221981208					
RGna_RS00055	1.9470233446483285	1.7195692679849706	0.3256161134006287	0.0	0.0					
RGna_RS00060	1.2874625910411712	0.2046706836040648	0.5813438902664884	0.0	0.0					
RGna_RS00065	0.9101028660808278	0.36170250119683856	0.6849166523254603	3.6262005394989743	1.3691131234572553					
RGna_RS00070	0.7743662528022692	1.0258555046169506	1.3597856275996913	0.0	0.0					
RGna_RS00075	0.29655037209375285	1.6500136571451292	0.4463501779199629	0.5907854811543273	0.44611551213775735					
RGna_RS00080	0.6855320289959482	0.36326831289033146	0.6878816594783845	0.0	0.0					
RGna_RS00085	1.4151733574447187	0.8998925498945475	0.42600714032039355	1.6915788039485833	0.0					
RGna_RS00090	0.0	0.5009849568815914	0.4743303383268859	0.6278197948983298	0.0					
RGna_RS00095	0.6284043599129525	0.24974696511210281	1.4187559226741677	0.0	0.472670006907862					
RGna_RS00100	1.7413927004598106	2.59530866838144	1.6381511684485235	1.3009461729336527	0.32745798416709615					
RGna_RS00105	0.78981495610007	0.2092642899692433	1.5850440233367262	0.5244878585808991	0.3960526741173108					
RGna_RS00110	2.0061174815273355	0.5979689806009493	1.3210268923711965	0.0	0.0					
RGna_RS00115	3.2862858354980866	1.632587164935147	0.6182905188307658	4.091821620446314	3.0898272825105373					
RGna_RS00120	0.576895805821727	2.980586731173949	3.473238542940039	0.0	0.8678531274373859					
RGna_RS00125	3.90044085463212	2.4802457224926076	1.761214248836898	1.036057296999707	1.1735255343919333					
RGna_RS00130	2.417677842718535	1.2811447370636115	2.425964325793997	0.0	1.212344445198791					
RGna_RS00135	1.3279488360424658	1.0555343431153026	1.7489066719757038	1.322764976672582	0.4994249129592504					
RGna_RS00140	3.1556827639106957	4.560596754221009	1.7271811232555088	5.715207372036428	4.747250938944179					
RGna_RS00145	2.2086178340036824	1.4044348163626201	0.0	0.0	1.329013575908298					
